sampleid	Location	Wonga	Sublocation	Vegetation 	Rainfall_level	Rainfall_av_3mth	Rainfall_av_6mth	Season	Notes	Date	Seasonal	Recapture	Bag_ID	Microchip	Sex	Body_Weight	Head_Length	Head_Width	Condition_Score	Scrotal_Width	Acc_Gland_Length	Acc_Gland_Width	Pouch_Status	Age_Class
SK-131K9	Kooloola	N		Introduced	Mid	13.7	11.5	Winter_Spring		19/07/2021	Y	N	5	7ABC139	F	23.7	183.7	133.6	4				Clean, cycling, moist	Adult
SK-132K12	Kooloola	N		Introduced	Mid	20.1	20.7	Summer_Autumn		22/01/2022	Y	N	2	783EA8C	M	18.8	105.1	133.3	2.5	48.1	63	64.8		Adult
SK-133K13	Kooloola	N		Introduced	Mid	20.1	20.7	Summer_Autumn		22/01/2022	Y	N	4	7ABEFEA	F	19.1	181.4	117.9	2.5				Dry, deep, clean	Adult
SK-134K14	Kooloola	N		Introduced	Mid	4.6	8.73	Summer_Autumn		09/04/2019	Y	N	4_FS bag 4	783B223	M	23.1	181.2	128.7	3	38.3	58.9	50		Subadult
SK-135K15	Kooloola	N		Introduced	Mid	4.6	8.73	Summer_Autumn		09/04/2019	Y	N	6_FS bag 6	7838F91	F		188	134.6					dry, deep, anoestrus	Adult
SK-136K16	Kooloola	N		Introduced	Mid	9.3	13.7	Summer_Autumn		13/04/2021	Y	N	1	7808A8D	M	18.3	178.2	132.7	2.5	57.1				Adult
SK-137K17	Kooloola	N		Introduced	Mid	9.3	13.7	Summer_Autumn		13/04/2021	Y	N	6	7ABDA39	M	21	194.2	139.6	2.5	49.4	52	61.7		Adult
SK-138K18	Kooloola	N		Introduced	Mid	9.3	13.7	Summer_Autumn	R23	15/4/2021	Y	Y	14	7ABE063	M	19.3	179.8	133	3	52.7				Adult
SK-13AU3	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-14AU4	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-15AU5	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-16AU6	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-17AU7	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-18AU8	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-19AU9	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-20AU10	Wonga	Y		Native	Mid	13	27.1	Summer_Autumn		20/04/2021	Y	N												
SK-21bb49	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-22bb52	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-23bb54	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-24bb58	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-25bb59	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-26bb60	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-27bb61	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-28bb62	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-29bb63	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-2A1	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-2B2	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-2C3	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring	Failed	28/09/2021	N	N												
SK-2D4	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-2E5	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-2F6	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-2G7	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-2H8	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-30bb64	Bon Bon	N	Mulga Well Track	Native	Low	21.6	22	Summer_Autumn		30/03/2022	Y	N												
SK-31bb30	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-32bb31	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-33bb32	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-34bb33	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-35bb35	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-36bb36	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-37bb37	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-38bb38	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-39bb39	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/3/2022	Y	N												
SK-3	Wonga	Y		Native	Mid	21.5	15.95	Winter_Spring		28/09/2021	Y	N												
SK-40bb40	Bon Bon	N	Kingoonya Road	Native	Low	21.6	22	Summer_Autumn		29/03/2022	Y	N												
SK-41TW30	Eyre Peninsula	N	Terry Williams	Native	High	23.16	30.23	Summer_Autumn		13/05/2022	Y	N												
SK-42TW31	Eyre Peninsula	N	Terry Williams	Native	High	23.16	30.23	Summer_Autumn		13/05/2022	Y	N												
SK-43TW32	Eyre Peninsula	N	Terry Williams	Native	High	23.16	30.23	Summer_Autumn		13/05/2022	Y	N												
